n,momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
1,f0,uniforme,ams,256.00,0.000000,94,992,kbytes
10,f0,uniforme,ams,256.00,0.000003,99,992,kbytes
100,f0,uniforme,ams,256.00,0.000035,99,992,kbytes
500,f0,uniforme,ams,256.00,0.000170,99,1088,kbytes
1000,f0,uniforme,ams,256.00,0.000295,99,1152,kbytes
3000,f0,uniforme,ams,256.00,0.000950,99,1248,kbytes
