n,momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
1,f0,uniforme,ams,256.00,0.000000,33,992,kbytes
10,f0,uniforme,ams,256.00,0.000008,87,992,kbytes
100,f0,uniforme,ams,256.00,0.000027,98,992,kbytes
500,f0,uniforme,ams,256.00,0.000152,99,992,kbytes
1000,f0,uniforme,ams,256.00,0.000302,99,1088,kbytes
3000,f0,uniforme,ams,256.00,0.000913,99,1120,kbytes
