n,momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
1,f1,uniforme,ams,151.000000,0.000551,0,992,kbytes
10,f1,uniforme,ams,325.000000,0.000540,71,1056,kbytes
100,f1,uniforme,ams,933.250000,0.000537,98,992,kbytes
500,f1,uniforme,ams,2082.166000,0.000537,99,992,kbytes
1000,f1,uniforme,ams,2937.442000,0.000537,99,992,kbytes
3000,f1,uniforme,ams,5109.138667,0.000535,99,1088,kbytes
