n,momento,distribuzione,algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
1,f0,esponenziale,ams,8192.00,0.000001,87,1056,kbytes
10,f0,esponenziale,ams,8192.00,0.000007,98,992,kbytes
100,f0,esponenziale,ams,8192.00,0.000032,99,992,kbytes
500,f0,esponenziale,ams,8192.00,0.000151,99,1056,kbytes
1000,f0,esponenziale,ams,8192.00,0.000295,99,1152,kbytes
3000,f0,esponenziale,ams,8192.00,0.000970,99,1088,kbytes
