algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
naive,10,0.243188,55%,1756,kbytes
naive,10,0.247405,55%,1864,kbytes
naive,10,0.266143,57%,1784,kbytes
naive,10,0.266105,57%,1800,kbytes
naive,10,0.263838,57%,1800,kbytes
naive,10,0.269147,58%,1792,kbytes
naive,10,0.266675,56%,1828,kbytes
naive,10,0.257895,55%,1836,kbytes
naive,10,0.256072,56%,1836,kbytes
naive,10,0.264839,57%,1800,kbytes
naive,10,0.259338,59%,1936,kbytes
naive,10,0.247676,56%,1828,kbytes
naive,10,0.243426,56%,1836,kbytes
naive,10,0.253475,61%,1800,kbytes
naive,10,0.256889,56%,1768,kbytes
naive,10,0.257323,56%,1932,kbytes
naive,10,0.262445,57%,1940,kbytes
naive,10,0.256225,56%,1936,kbytes
naive,10,0.269617,57%,1804,kbytes
naive,10,0.258475,56%,1792,kbytes
naive,10,0.255506,58%,1784,kbytes
naive,10,0.253691,57%,1792,kbytes
naive,10,0.260975,57%,1828,kbytes
naive,10,0.261955,56%,1832,kbytes
naive,10,0.266664,57%,1844,kbytes
naive,10,0.272270,57%,1836,kbytes
naive,10,0.259014,55%,1756,kbytes
naive,10,0.252014,55%,1808,kbytes
naive,10,0.262028,56%,1832,kbytes
naive,10,0.248205,55%,1936,kbytes
naive,10,0.268516,58%,1808,kbytes
naive,10,0.258300,57%,1768,kbytes
naive,10,0.260189,57%,1940,kbytes
naive,10,0.255690,56%,1924,kbytes
naive,10,0.249474,63%,1928,kbytes
naive,10,0.263295,58%,1828,kbytes
naive,10,0.251080,56%,1924,kbytes
naive,10,0.260780,57%,1848,kbytes
naive,10,0.250956,56%,1936,kbytes
naive,10,0.275239,58%,1832,kbytes
naive,10,0.262910,58%,1764,kbytes
naive,10,0.254882,56%,1792,kbytes
naive,10,0.254031,56%,1864,kbytes
naive,10,0.254358,56%,1952,kbytes
naive,10,0.238844,56%,1832,kbytes
naive,10,0.264111,58%,1836,kbytes
naive,10,0.251108,56%,1812,kbytes
naive,10,0.251501,56%,1756,kbytes
naive,10,0.254729,55%,1844,kbytes
naive,10,0.254806,56%,1828,kbytes
naive,10,0.254265,57%,1756,kbytes
naive,10,0.257292,57%,1788,kbytes
naive,10,0.264479,58%,1828,kbytes
naive,10,0.250207,56%,1756,kbytes
naive,10,0.256346,57%,1856,kbytes
naive,10,0.243885,57%,1856,kbytes
naive,10,0.257314,57%,1828,kbytes
naive,10,0.248074,56%,1924,kbytes
naive,10,0.251060,57%,1928,kbytes
naive,10,0.251040,57%,1856,kbytes
naive,10,0.260065,56%,1800,kbytes
naive,10,0.248182,60%,1924,kbytes
naive,10,0.252607,61%,1860,kbytes
naive,10,0.261064,57%,1924,kbytes
naive,10,0.248374,56%,1936,kbytes
naive,10,0.263586,57%,1936,kbytes
naive,10,0.257783,56%,1760,kbytes
naive,10,0.257711,56%,1856,kbytes
naive,10,0.258339,62%,1792,kbytes
naive,10,0.256787,55%,1924,kbytes
naive,10,0.266201,57%,1792,kbytes
naive,10,0.252129,57%,1828,kbytes
naive,10,0.268427,57%,1936,kbytes
naive,10,0.262193,56%,1760,kbytes
naive,10,0.252961,55%,1924,kbytes
naive,10,0.251119,57%,1808,kbytes
naive,10,0.260353,56%,1844,kbytes
naive,10,0.269547,57%,1856,kbytes
naive,10,0.265601,57%,1836,kbytes
naive,10,0.268853,58%,1860,kbytes
naive,10,0.256859,57%,1844,kbytes
naive,10,0.251273,60%,1864,kbytes
naive,10,0.255595,57%,1844,kbytes
naive,10,0.240441,57%,1808,kbytes
naive,10,0.266674,58%,1952,kbytes
naive,10,0.255096,56%,1924,kbytes
naive,10,0.246882,62%,1784,kbytes
naive,10,0.253830,54%,1860,kbytes
naive,10,0.260781,56%,1764,kbytes
naive,10,0.254839,60%,1936,kbytes
naive,10,0.254713,57%,1832,kbytes
naive,10,0.282088,59%,1956,kbytes
naive,10,0.256580,63%,1844,kbytes
naive,10,0.257554,56%,1836,kbytes
naive,10,0.254901,57%,1836,kbytes
naive,10,0.251008,56%,1796,kbytes
naive,10,0.247550,59%,1840,kbytes
naive,10,0.246694,56%,1828,kbytes
naive,10,0.254246,59%,1936,kbytes
naive,10,0.268435,57%,1792,kbytes
