algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
naive,10000,0.000596,33%,1808,kbytes
naive,10000,0.000631,33%,1856,kbytes
naive,10000,0.000619,16%,1828,kbytes
naive,10000,0.000538,16%,1848,kbytes
naive,10000,0.000625,14%,1792,kbytes
naive,10000,0.000623,33%,1924,kbytes
naive,10000,0.000538,16%,1952,kbytes
naive,10000,0.000589,33%,1828,kbytes
naive,10000,0.000564,16%,1936,kbytes
naive,10000,0.000527,16%,1956,kbytes
naive,10000,0.000560,33%,1796,kbytes
naive,10000,0.000559,16%,1936,kbytes
naive,10000,0.000670,28%,1828,kbytes
naive,10000,0.000553,16%,1832,kbytes
naive,10000,0.000573,16%,1840,kbytes
naive,10000,0.000574,33%,1860,kbytes
naive,10000,0.000544,33%,1936,kbytes
naive,10000,0.000586,33%,1832,kbytes
naive,10000,0.000682,33%,1932,kbytes
naive,10000,0.000531,33%,1856,kbytes
naive,10000,0.000617,16%,1832,kbytes
naive,10000,0.000659,33%,1940,kbytes
naive,10000,0.000606,20%,1936,kbytes
naive,10000,0.000615,33%,1844,kbytes
naive,10000,0.000592,28%,1944,kbytes
naive,10000,0.000612,28%,1808,kbytes
naive,10000,0.000605,28%,1940,kbytes
naive,10000,0.000570,16%,1924,kbytes
naive,10000,0.000655,28%,1828,kbytes
naive,10000,0.000640,28%,1844,kbytes
naive,10000,0.000626,28%,1852,kbytes
naive,10000,0.000628,16%,1756,kbytes
naive,10000,0.000803,28%,1808,kbytes
naive,10000,0.000578,33%,1784,kbytes
naive,10000,0.000541,16%,1928,kbytes
naive,10000,0.000542,33%,1860,kbytes
naive,10000,0.000535,28%,1788,kbytes
naive,10000,0.000594,33%,1840,kbytes
naive,10000,0.000735,28%,1804,kbytes
naive,10000,0.000619,28%,1796,kbytes
naive,10000,0.000668,33%,1812,kbytes
naive,10000,0.000638,33%,1812,kbytes
naive,10000,0.000588,28%,1848,kbytes
naive,10000,0.000623,28%,1768,kbytes
naive,10000,0.000673,28%,1800,kbytes
naive,10000,0.000623,33%,1792,kbytes
naive,10000,0.000612,28%,1804,kbytes
naive,10000,0.000608,14%,1832,kbytes
naive,10000,0.000516,14%,1852,kbytes
naive,10000,0.000634,33%,1952,kbytes
naive,10000,0.000570,33%,1800,kbytes
naive,10000,0.000556,16%,1760,kbytes
naive,10000,0.000670,25%,1936,kbytes
naive,10000,0.000584,16%,1768,kbytes
naive,10000,0.000545,16%,1828,kbytes
naive,10000,0.000558,16%,1956,kbytes
naive,10000,0.000620,28%,1832,kbytes
naive,10000,0.000565,28%,1936,kbytes
naive,10000,0.000543,33%,1760,kbytes
naive,10000,0.000537,33%,1796,kbytes
naive,10000,0.000691,33%,1812,kbytes
naive,10000,0.000614,16%,1864,kbytes
naive,10000,0.000631,28%,1924,kbytes
naive,10000,0.000723,33%,1792,kbytes
naive,10000,0.000600,33%,1812,kbytes
naive,10000,0.000600,28%,1784,kbytes
naive,10000,0.000571,16%,1812,kbytes
naive,10000,0.000629,33%,1852,kbytes
naive,10000,0.000550,16%,1756,kbytes
naive,10000,0.000657,33%,1800,kbytes
naive,10000,0.000593,16%,1832,kbytes
naive,10000,0.000585,16%,1832,kbytes
naive,10000,0.000643,28%,1836,kbytes
naive,10000,0.000662,33%,1940,kbytes
naive,10000,0.000557,16%,1760,kbytes
naive,10000,0.000623,33%,1772,kbytes
naive,10000,0.000726,28%,1792,kbytes
naive,10000,0.000623,33%,1860,kbytes
naive,10000,0.000611,33%,1936,kbytes
naive,10000,0.000679,33%,1784,kbytes
naive,10000,0.000696,28%,1844,kbytes
naive,10000,0.000727,33%,1856,kbytes
naive,10000,0.000592,16%,1800,kbytes
naive,10000,0.000543,16%,1800,kbytes
naive,10000,0.000550,16%,1808,kbytes
naive,10000,0.000543,20%,1784,kbytes
naive,10000,0.000699,33%,1832,kbytes
naive,10000,0.000566,33%,1848,kbytes
naive,10000,0.000620,16%,1836,kbytes
naive,10000,0.000607,16%,1864,kbytes
naive,10000,0.000591,20%,1864,kbytes
naive,10000,0.000583,33%,1796,kbytes
naive,10000,0.000829,28%,1792,kbytes
naive,10000,0.000613,33%,1940,kbytes
naive,10000,0.000570,16%,1768,kbytes
naive,10000,0.000614,40%,1956,kbytes
naive,10000,0.000653,33%,1756,kbytes
naive,10000,0.000565,20%,1760,kbytes
naive,10000,0.000599,33%,1768,kbytes
naive,10000,0.000570,33%,1800,kbytes
