algoritmo,stima,esecuzione,cpu_percent,max_RSS,max_RSS_unit
naive,8,0.000566,28%,1788,kbytes
naive,8,0.000525,28%,1828,kbytes
naive,8,0.000613,33%,1864,kbytes
naive,8,0.000557,33%,1804,kbytes
naive,8,0.000510,33%,1760,kbytes
naive,8,0.000534,33%,1928,kbytes
naive,8,0.000533,20%,1924,kbytes
naive,8,0.000545,28%,1940,kbytes
naive,8,0.000609,33%,1796,kbytes
naive,8,0.000630,16%,1812,kbytes
naive,8,0.000764,33%,1828,kbytes
naive,8,0.000589,40%,1924,kbytes
naive,8,0.000536,33%,1828,kbytes
naive,8,0.000563,33%,1940,kbytes
naive,8,0.000598,20%,1840,kbytes
naive,8,0.000583,33%,1936,kbytes
naive,8,0.000556,16%,1788,kbytes
naive,8,0.000578,33%,1756,kbytes
naive,8,0.000697,33%,1796,kbytes
naive,8,0.000672,28%,1924,kbytes
naive,8,0.000562,16%,1860,kbytes
naive,8,0.000506,16%,1924,kbytes
naive,8,0.000621,28%,1936,kbytes
naive,8,0.000799,28%,1804,kbytes
naive,8,0.000572,28%,1836,kbytes
naive,8,0.000543,16%,1804,kbytes
naive,8,0.000587,33%,1796,kbytes
naive,8,0.000560,16%,1784,kbytes
naive,8,0.000520,16%,1756,kbytes
naive,8,0.000565,16%,1952,kbytes
naive,8,0.000518,20%,1812,kbytes
naive,8,0.000511,33%,1812,kbytes
naive,8,0.000579,40%,1852,kbytes
naive,8,0.000622,33%,1932,kbytes
naive,8,0.000534,20%,1804,kbytes
naive,8,0.000560,33%,1832,kbytes
naive,8,0.000618,33%,1804,kbytes
naive,8,0.000517,16%,1828,kbytes
naive,8,0.000680,33%,1808,kbytes
naive,8,0.000546,33%,1788,kbytes
naive,8,0.000539,33%,1936,kbytes
naive,8,0.000580,16%,1952,kbytes
naive,8,0.000542,20%,1796,kbytes
naive,8,0.000567,33%,1848,kbytes
naive,8,0.000504,33%,1788,kbytes
naive,8,0.000583,33%,1828,kbytes
naive,8,0.000554,33%,1844,kbytes
naive,8,0.000576,33%,1828,kbytes
naive,8,0.000594,33%,1784,kbytes
naive,8,0.000602,28%,1956,kbytes
naive,8,0.000571,33%,1848,kbytes
naive,8,0.000567,28%,1952,kbytes
naive,8,0.000504,14%,1788,kbytes
naive,8,0.000503,20%,1784,kbytes
naive,8,0.000596,33%,1828,kbytes
naive,8,0.000562,33%,1940,kbytes
naive,8,0.000632,16%,1788,kbytes
naive,8,0.000562,16%,1804,kbytes
naive,8,0.000554,16%,1784,kbytes
naive,8,0.000590,20%,1848,kbytes
naive,8,0.000610,33%,1808,kbytes
naive,8,0.000618,33%,1832,kbytes
naive,8,0.000524,16%,1852,kbytes
naive,8,0.000511,16%,1956,kbytes
naive,8,0.000531,16%,1936,kbytes
naive,8,0.000504,28%,1844,kbytes
naive,8,0.000558,33%,1768,kbytes
naive,8,0.000549,33%,1756,kbytes
naive,8,0.000543,40%,1808,kbytes
naive,8,0.000511,16%,1768,kbytes
naive,8,0.000579,20%,1924,kbytes
naive,8,0.000547,16%,1852,kbytes
naive,8,0.000558,16%,1768,kbytes
naive,8,0.000498,16%,1864,kbytes
naive,8,0.000729,33%,1844,kbytes
naive,8,0.000690,33%,1808,kbytes
naive,8,0.000555,33%,1836,kbytes
naive,8,0.000575,16%,1836,kbytes
naive,8,0.000519,40%,1812,kbytes
naive,8,0.000566,20%,1860,kbytes
naive,8,0.000817,28%,1756,kbytes
naive,8,0.000773,33%,1924,kbytes
naive,8,0.000568,20%,1840,kbytes
naive,8,0.000509,20%,1936,kbytes
naive,8,0.000491,16%,1800,kbytes
naive,8,0.000618,16%,1860,kbytes
naive,8,0.000503,16%,1832,kbytes
naive,8,0.000549,28%,1932,kbytes
naive,8,0.000534,16%,1764,kbytes
naive,8,0.000573,33%,1924,kbytes
naive,8,0.000505,33%,1840,kbytes
naive,8,0.000504,16%,1936,kbytes
naive,8,0.000555,33%,1956,kbytes
naive,8,0.000535,16%,1836,kbytes
naive,8,0.000679,40%,1804,kbytes
naive,8,0.000522,16%,1952,kbytes
naive,8,0.000595,40%,1952,kbytes
naive,8,0.000554,16%,1812,kbytes
naive,8,0.000504,33%,1928,kbytes
naive,8,0.000550,40%,1840,kbytes
